max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
9,9,100,0.1,0.5,0.5,80,1,10,0.206309909,0.793690091
3,3,100,0.1,0.5,0.5,16,1,10,0.206337062,0.793662938
7,7,200,0.05,0.9,0.9,16,0.01,10,0.206383187,0.793616813
7,7,200,0.05,0.9,0.9,16,0.1,10,0.206410927,0.793589073
7,7,200,0.05,0.9,0.9,16,1,10,0.206466405,0.793533595
5,5,200,0.05,0.9,0.9,16,0.01,10,0.206499118,0.793500882
9,9,200,0.05,0.9,0.9,16,0.1,10,0.20652886,0.79347114
9,9,200,0.05,0.9,0.9,16,0.01,10,0.206541746,0.793458254
5,5,200,0.05,0.9,0.9,16,0.1,10,0.206543944,0.793456056
5,5,200,0.05,0.9,0.9,48,0.01,10,0.206554557,0.793445443
5,5,200,0.05,0.9,0.9,48,0.1,10,0.206562402,0.793437598
5,5,200,0.05,0.9,0.9,16,1,10,0.206617635,0.793382365
9,9,200,0.05,0.9,0.9,16,1,10,0.206652184,0.793347816
5,5,200,0.05,0.9,0.9,48,1,10,0.206672197,0.793327803
7,7,200,0.05,0.9,0.9,48,0.1,10,0.206673066,0.793326934
7,7,200,0.05,0.9,0.9,48,0.01,10,0.206682521,0.793317479
7,7,200,0.05,0.9,0.9,48,1,10,0.206705583,0.793294417
9,9,200,0.05,0.9,0.9,48,0.01,10,0.206760485,0.793239515
9,9,200,0.05,0.9,0.9,48,0.1,10,0.206764987,0.793235013
9,9,200,0.05,0.9,0.9,48,1,10,0.20686102,0.79313898
3,3,100,0.1,0.5,0.5,112,0.1,10,0.206867384,0.793132616
3,3,100,0.1,0.5,0.5,112,0.01,10,0.206871256,0.793128744
5,5,100,0.1,0.5,0.5,112,0.01,10,0.206902815,0.793097185
5,5,100,0.1,0.5,0.5,112,0.1,10,0.20690984,0.79309016
3,3,100,0.1,0.5,0.5,112,1,10,0.206911268,0.793088732
5,5,100,0.1,0.5,0.5,112,1,10,0.206922006,0.793077994
7,7,100,0.1,0.5,0.5,112,0.1,10,0.207005886,0.792994114
7,7,100,0.1,0.5,0.5,112,0.01,10,0.207006198,0.792993802
7,7,100,0.1,0.5,0.5,112,1,10,0.207094294,0.792905706
9,9,100,0.1,0.5,0.5,112,0.1,10,0.207099958,0.792900042
9,9,100,0.1,0.5,0.5,112,1,10,0.207126818,0.792873182
9,9,100,0.1,0.5,0.5,112,0.01,10,0.207127108,0.792872892
5,5,200,0.05,0.9,0.9,80,1,10,0.20729356,0.79270644
7,7,200,0.05,0.9,0.9,80,0.1,10,0.207307108,0.792692892
7,7,200,0.05,0.9,0.9,80,0.01,10,0.207312276,0.792687724
7,7,200,0.05,0.9,0.9,80,1,10,0.207352828,0.792647172
9,9,200,0.05,0.9,0.9,80,0.1,10,0.207392096,0.792607904
9,9,200,0.05,0.9,0.9,80,0.01,10,0.207394883,0.792605117
9,9,200,0.05,0.9,0.9,80,1,10,0.20744485,0.79255515
3,3,100,0.1,0.5,0.5,144,0.1,10,0.207448659,0.792551341
3,3,100,0.1,0.5,0.5,144,0.01,10,0.207451992,0.792548008
5,5,100,0.1,0.5,0.5,144,0.01,10,0.207471104,0.792528896
5,5,100,0.1,0.5,0.5,144,0.1,10,0.20747388,0.79252612
3,3,100,0.1,0.5,0.5,144,1,10,0.207487719,0.792512281
5,5,100,0.1,0.5,0.5,144,1,10,0.207502457,0.792497543
7,7,100,0.1,0.5,0.5,144,0.01,10,0.207570828,0.792429172
7,7,100,0.1,0.5,0.5,144,0.1,10,0.207573571,0.792426429
9,9,100,0.1,0.5,0.5,144,1,10,0.207588906,0.792411094
9,9,100,0.1,0.5,0.5,144,0.1,10,0.207627155,0.792372845
7,7,100,0.1,0.5,0.5,144,1,10,0.207632208,0.792367792
9,9,100,0.1,0.5,0.5,144,0.01,10,0.207638118,0.792361882
7,7,100,0.1,0.9,0.9,16,0.1,5,0.368797136,0.631202864
7,7,100,0.1,0.9,0.9,16,0.01,5,0.368803862,0.631196138
7,7,100,0.1,0.9,0.9,16,1,5,0.368906365,0.631093635
5,5,100,0.1,0.9,0.9,48,0.01,5,0.36892732,0.63107268
5,5,100,0.1,0.9,0.9,48,0.1,5,0.36896389,0.63103611
