max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
5,5,100,100,0.2,0.2,64,64,10.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.11202670632665639,0.8879732936733437
5,5,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.11210575396331122,0.8878942460366888
5,5,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,10,80,7,1.0,1.0,10,0.11211763103763776,0.8878823689623623
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.1,0.1,10,0.11220279709654755,0.8877972029034524
5,5,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.11226957573331715,0.8877304242666828
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.1,0.1,10,0.11230160210614118,0.8876983978938588
9,9,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,10,80,7,1.0,1.0,10,0.11233710537229409,0.8876628946277059
7,7,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,10,80,7,1.0,1.0,10,0.11241258402793851,0.8875874159720615
9,9,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.11246470185465665,0.8875352981453434
9,9,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,18,144,11,1.0,1.0,10,0.11249665638419026,0.8875033436158097
7,7,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,0.01,0.01,10,0.11250253315557424,0.8874974668444258
7,7,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,10,80,7,1.0,1.0,10,0.11258344320606192,0.887416556793938
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,0.01,0.01,10,0.11261305902358461,0.8873869409764154
9,9,100,100,0.2,0.2,96,96,15.0,0.7,0.7,0.7,0.7,10,80,7,0.1,0.1,10,0.11264302623975052,0.8873569737602495
7,7,200,200,0.1,0.1,64,64,10.0,0.7,0.7,0.7,0.7,18,144,11,0.1,0.1,10,0.11267873803058906,0.887321261969411
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,0.1,0.1,10,0.11270256146472309,0.8872974385352769
9,9,200,200,0.1,0.1,32,32,5.0,0.5,0.5,0.8999999999999999,0.8999999999999999,14,112,9,0.1,0.1,10,0.1128659961301347,0.8871340038698653
9,9,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.01,0.01,10,0.11293221300411324,0.8870677869958867
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,1.0,1.0,10,0.11293227976876907,0.8870677202312309
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.112955844885474,0.8870441551145261
7,7,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.11299866495659844,0.8870013350434016
5,5,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,10,80,7,0.1,0.1,10,0.11302755708914007,0.88697244291086
