max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.1,0.1,200,0.05,10,0.2104825938256413,0.7895174061743587
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,200,0.05,10,0.21049601044647775,0.7895039895535223
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,1.0,1.0,100,0.1,10,0.2105704896730562,0.7894295103269438
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.1,0.1,200,0.05,10,0.2106393940155753,0.7893606059844247
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,200,0.05,10,0.21073378121116756,0.7892662187888324
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.1,0.1,200,0.05,10,0.21077687239579318,0.7892231276042068
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.01,0.01,100,0.1,10,0.2108949375944094,0.7891050624055906
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,200,0.05,10,0.21094092442473614,0.7890590755752639
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.21099520838285862,0.7890047916171414
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.21132024123963683,0.7886797587603631
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,200,0.05,10,0.2115782348368924,0.7884217651631076
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,200,0.05,10,0.21158417242579783,0.7884158275742021
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.01,0.01,100,0.1,10,0.21159039634969629,0.7884096036503037
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,200,0.05,10,0.2115934362151692,0.7884065637848308
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.21160860856347566,0.7883913914365244
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.1,0.1,200,0.05,10,0.21169089717052914,0.7883091028294709
