max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,penalty_逻辑回归,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,C_逻辑回归,degree,mse,r2
5,5,200,0.05,l1,0.9,0.9,48,1.0,10.0,10,0.17077865033987438,0.8292213496601256
5,5,200,0.05,l1,0.9,0.9,144,1.0,10.0,10,0.17078123005938267,0.8292187699406173
3,3,100,0.1,l2,0.5,0.5,48,1.0,10.0,10,0.17079448878094586,0.8292055112190542
9,9,200,0.05,l1,0.9,0.9,48,1.0,10.0,10,0.17080057115439293,0.829199428845607
7,7,200,0.05,l1,0.9,0.9,48,1.0,10.0,10,0.17080727313016167,0.8291927268698384
9,9,100,0.1,l2,0.5,0.5,112,1.0,10.0,10,0.17080960764226363,0.8291903923577364
5,5,200,0.05,l1,0.9,0.9,112,1.0,10.0,10,0.17081590733618057,0.8291840926638194
3,3,200,0.05,l1,0.9,0.9,144,1.0,10.0,10,0.17081598253378708,0.829184017466213
7,7,200,0.05,l1,0.9,0.9,112,1.0,10.0,10,0.1708192362396437,0.8291807637603563
9,9,100,0.1,l2,0.5,0.5,80,1.0,10.0,10,0.1708342725051166,0.8291657274948834
9,9,200,0.05,l1,0.9,0.9,112,1.0,10.0,10,0.17084443719015582,0.8291555628098441
9,9,100,0.1,l2,0.9,0.9,48,0.1,1.0,10,0.1708492572030328,0.8291507427969672
9,9,100,0.1,l2,0.9,0.9,112,0.1,1.0,10,0.17086450013704288,0.8291354998629571
5,5,200,0.05,l1,0.9,0.9,48,0.1,1.0,10,0.17086541307173525,0.8291345869282647
7,7,100,0.1,l2,0.9,0.9,112,0.1,1.0,10,0.17087626698994507,0.8291237330100549
9,9,200,0.05,l1,0.9,0.9,80,1.0,10.0,10,0.17088501780525864,0.8291149821947413
5,5,200,0.05,l1,0.9,0.9,80,1.0,10.0,10,0.170885194851681,0.829114805148319
5,5,200,0.05,l2,0.9,0.9,16,1.0,10.0,10,0.17090385856462506,0.8290961414353749
5,5,100,0.1,l2,0.9,0.9,112,0.1,1.0,10,0.17090391565478474,0.8290960843452153
7,7,200,0.05,l1,0.9,0.9,80,1.0,10.0,10,0.17090768531387904,0.829092314686121
5,5,200,0.05,l1,0.7,0.7,16,1.0,10.0,10,0.17091698897536026,0.8290830110246398
3,3,200,0.05,l1,0.9,0.9,112,1.0,10.0,10,0.17091988610327205,0.829080113896728
3,3,200,0.05,l1,0.9,0.9,16,1.0,10.0,10,0.170920627842391,0.829079372157609
3,3,200,0.05,l1,0.9,0.9,80,1.0,10.0,10,0.1709564023410525,0.8290435976589475
3,3,200,0.05,l1,0.9,0.9,48,1.0,10.0,10,0.17096072241352847,0.8290392775864716
7,7,200,0.05,l1,0.7,0.7,16,1.0,10.0,10,0.1710048751414741,0.8289951248585259
7,7,100,0.1,l2,0.9,0.9,144,0.1,1.0,10,0.17100619481856352,0.8289938051814365
9,9,100,0.1,l2,0.9,0.9,144,0.1,1.0,10,0.17103672283353094,0.828963277166469
9,9,200,0.05,l1,0.7,0.7,16,1.0,10.0,10,0.1710408855079911,0.8289591144920089
5,5,200,0.05,l2,0.9,0.9,48,1.0,10.0,10,0.17105234425224972,0.8289476557477503
9,9,200,0.05,l2,0.9,0.9,144,1.0,10.0,10,0.17106131438018957,0.8289386856198104
7,7,200,0.05,l2,0.9,0.9,144,1.0,10.0,10,0.17106364891623085,0.8289363510837692
9,9,200,0.05,l2,0.9,0.9,48,1.0,10.0,10,0.17107597209411113,0.8289240279058889
7,7,200,0.05,l2,0.9,0.9,48,1.0,10.0,10,0.17108172176391456,0.8289182782360854
5,5,200,0.05,l2,0.9,0.9,144,1.0,10.0,10,0.17108277527349125,0.8289172247265088
5,5,100,0.1,l2,0.9,0.9,144,0.1,1.0,10,0.17109963839735073,0.8289003616026492
5,5,200,0.05,l2,0.9,0.9,112,1.0,10.0,10,0.17111804407073836,0.8288819559292616
3,3,200,0.05,l2,0.9,0.9,144,1.0,10.0,10,0.17111823411386948,0.8288817658861305
7,7,200,0.05,l2,0.9,0.9,112,1.0,10.0,10,0.1711249655572553,0.8288750344427447
3,3,100,0.1,l2,0.9,0.9,144,0.1,1.0,10,0.17113490748905583,0.8288650925109442
5,5,200,0.05,l1,0.7,0.7,48,1.0,10.0,10,0.17114725055979893,0.828852749440201
9,9,200,0.05,l2,0.9,0.9,112,1.0,10.0,10,0.17115127364609048,0.8288487263539095
9,9,200,0.05,l2,0.9,0.9,80,1.0,10.0,10,0.17115741036915783,0.8288425896308422
5,5,200,0.05,l2,0.9,0.9,80,1.0,10.0,10,0.17116753777254473,0.8288324622274552
7,7,200,0.05,l2,0.9,0.9,80,1.0,10.0,10,0.17118105268913597,0.828818947310864
3,3,100,0.1,l2,0.9,0.9,112,0.1,1.0,10,0.1711812563048805,0.8288187436951195
5,5,200,0.05,l2,0.7,0.7,16,1.0,10.0,10,0.1711885257894066,0.8288114742105934
7,7,200,0.05,l1,0.7,0.7,48,1.0,10.0,10,0.17120991583670328,0.8287900841632967
3,3,200,0.05,l2,0.9,0.9,112,1.0,10.0,10,0.17122573141548098,0.828774268584519
3,3,200,0.05,l2,0.9,0.9,16,1.0,10.0,10,0.171227740769219,0.828772259230781
3,3,200,0.05,l2,0.9,0.9,80,1.0,10.0,10,0.17125391481310104,0.828746085186899
9,9,200,0.05,l1,0.7,0.7,48,1.0,10.0,10,0.17125421347348738,0.8287457865265127
3,3,200,0.05,l2,0.9,0.9,48,1.0,10.0,10,0.17126728196248772,0.8287327180375123
3,3,100,0.1,l2,0.9,0.9,16,0.1,1.0,10,0.1712693123864737,0.8287306876135263
7,7,200,0.05,l2,0.7,0.7,16,1.0,10.0,10,0.1712749893415143,0.8287250106584857
9,9,200,0.05,l2,0.7,0.7,16,1.0,10.0,10,0.1713098777725211,0.828690122227479
3,3,200,0.05,l1,0.7,0.7,16,1.0,10.0,10,0.17131572625536504,0.8286842737446349
3,3,100,0.1,l2,0.9,0.9,80,0.1,1.0,10,0.17132995236667156,0.8286700476333284
3,3,200,0.05,l1,0.7,0.7,48,1.0,10.0,10,0.17133853117774603,0.828661468822254
5,5,200,0.05,l1,0.5,0.5,16,1.0,10.0,10,0.17134035573928683,0.8286596442607131
7,7,200,0.05,l1,0.7,0.7,80,1.0,10.0,10,0.1713433763974197,0.8286566236025803
7,7,200,0.05,l1,0.5,0.5,16,1.0,10.0,10,0.17134578034016917,0.8286542196598308
5,5,200,0.05,l1,0.7,0.7,80,1.0,10.0,10,0.17135137291173297,0.828648627088267
3,3,200,0.05,l1,0.7,0.7,80,1.0,10.0,10,0.17135470250689194,0.828645297493108
9,9,200,0.05,l1,0.7,0.7,80,1.0,10.0,10,0.1713673975467245,0.8286326024532755
3,3,100,0.1,l2,0.9,0.9,48,0.1,1.0,10,0.17139050049267976,0.8286094995073202
5,5,200,0.05,l2,0.7,0.7,48,1.0,10.0,10,0.17141736099296725,0.8285826390070328
9,9,200,0.05,l1,0.5,0.5,16,1.0,10.0,10,0.17142367829548932,0.8285763217045107
3,3,200,0.05,l1,0.7,0.7,144,1.0,10.0,10,0.1714388250419137,0.8285611749580863
3,3,200,0.05,l1,0.7,0.7,112,1.0,10.0,10,0.17144094000040702,0.828559059999593
