num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,1,10,0.163900276,0.836099724
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,1,10,0.163985523,0.836014477
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.164024382,0.835975618
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.164046962,0.835953038
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164079957,0.835920043
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,3,48,1,10,0.164109683,0.835890317
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.164158895,0.835841105
14,14,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.16416787,0.83583213
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,1,10,0.164196373,0.835803627
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.01,10,0.164208744,0.835791256
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164263937,0.835736063
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.164305515,0.835694485
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,1,10,0.164396366,0.835603634
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,7,112,0.01,10,0.164503074,0.835496926
10,10,5,5,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.164515883,0.835484117
14,14,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164533276,0.835466724
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.164535403,0.835464597
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,5,80,1,10,0.164581857,0.835418143
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.01,10,0.164727131,0.835272869
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.01,10,0.164802982,0.835197018
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,1,10,0.164873535,0.835126465
14,14,3,3,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.164930964,0.835069036
10,10,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.16506166,0.83493834
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,3,48,1,10,0.165065662,0.834934338
10,10,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,7,112,0.01,10,0.165192721,0.834807279
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.165259044,0.834740956
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.1,10,0.165634232,0.834365768
14,14,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.165635105,0.834364895
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,1,10,0.165694279,0.834305721
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,9,144,1,10,0.165753558,0.834246442
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,3,48,1,10,0.165754001,0.834245999
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,1,10,0.165776561,0.834223439
