max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
9,100,0.2,64,64,10,0.9,0.9,80,1,10,0.096027478,0.903972522,1.110218095,0.504037149
7,200,0.1,32,32,5,0.5,0.5,16,0.1,10,0.096036797,0.903963203,1.104326887,0.504037149
5,200,0.1,96,96,15,0.5,0.5,80,0.1,10,0.096053453,0.903946547,1.077543947,0.504037149
5,200,0.1,32,32,5,0.7,0.7,112,0.01,10,0.096137257,0.903862743,1.099941778,0.504037149
7,100,0.2,96,96,15,0.5,0.5,16,0.01,10,0.096141196,0.903858804,1.078052457,0.504037149
9,100,0.2,96,96,15,0.5,0.5,48,0.1,10,0.096146563,0.903853437,1.082913834,0.504037149
7,100,0.2,32,32,5,0.9,0.9,80,0.01,10,0.096202709,0.903797291,1.131844967,0.504037149
7,200,0.1,96,96,15,0.5,0.5,144,0.1,10,0.096209384,0.903790616,1.08275857,0.504037149
7,200,0.1,32,32,5,0.5,0.5,80,1,10,0.096228943,0.903771057,1.104462892,0.504037149
9,200,0.1,96,96,15,0.7,0.7,144,1,10,0.096230635,0.903769365,1.086361271,0.504037149
9,100,0.2,96,96,15,0.5,0.5,144,0.01,10,0.096268534,0.903731466,1.084191037,0.504037149
7,200,0.1,32,32,5,0.5,0.5,48,0.01,10,0.096273112,0.903726888,1.117540055,0.504037149
5,200,0.1,64,64,10,0.5,0.5,144,1,10,0.096291795,0.903708205,1.087250351,0.504037149
5,100,0.2,96,96,15,0.5,0.5,112,0.01,10,0.096423765,0.903576235,1.078084196,0.504037149
5,100,0.2,128,128,20,0.5,0.5,48,0.1,10,0.096458753,0.903541247,1.080761116,0.504037149
9,200,0.1,64,64,10,0.5,0.5,48,0.01,10,0.096473141,0.903526859,1.103688712,0.504037149
5,200,0.1,96,96,15,0.7,0.7,48,1,10,0.096507077,0.903492923,1.075744008,0.504037149
7,200,0.1,32,32,5,0.5,0.5,80,0.1,10,0.096508776,0.903491224,1.105958938,0.504037149
5,100,0.2,128,128,20,0.5,0.5,48,0.01,10,0.096524423,0.903475577,1.081100056,0.504037149
5,100,0.2,96,96,15,0.5,0.5,112,1,10,0.096551009,0.903448991,1.077471038,0.504037149
5,100,0.2,128,128,20,0.5,0.5,16,1,10,0.09662643,0.90337357,1.066251385,0.504037149
