max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,n_estimators_random,learning_rate_XGB,min_samples_split_random,min_samples_leaf_random,subsample_XGB,colsample_bytree_XGB,max_features_random,max_samples_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.450519333,0.549480667
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.450595693,0.549404307
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.450683795,0.549316205
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.450686435,0.549313565
9,9,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.450729328,0.549270672
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.459026465,0.540973535
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.459026764,0.540973236
5,5,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,1,10,0.459312601,0.540687399
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.459503099,0.540496901
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.459505665,0.540494335
7,7,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,1,10,0.459679801,0.540320199
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.459918397,0.540081603
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.459951905,0.540048095
9,9,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,1,10,0.460203282,0.539796718
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.01,10,0.460480286,0.539519714
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,0.1,10,0.460501186,0.539498814
3,3,100,100,0.1,16,16,0.7,0.7,0.7,0.7,5,80,1,10,0.460713753,0.539286247
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.01,10,0.470389946,0.529610054
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.470409585,0.529590415
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.01,10,0.470496355,0.529503645
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.470525407,0.529474593
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,1,10,0.470529511,0.529470489
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,1,10,0.470559551,0.529440449
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.01,10,0.47073216,0.52926784
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.470740612,0.529259388
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,1,10,0.470887305,0.529112695
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.1,10,0.471019609,0.528980391
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,0.01,10,0.47105015,0.52894985
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,5,80,1,10,0.471129652,0.528870348
3,3,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.01,10,0.47311452,0.52688548
3,3,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.1,10,0.473136817,0.526863183
5,5,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,1,10,0.473191986,0.526808014
5,5,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.01,10,0.473193919,0.526806081
5,5,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.1,10,0.473208437,0.526791563
7,7,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.1,10,0.473242494,0.526757506
7,7,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.01,10,0.473250077,0.526749923
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.473281746,0.526718254
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.47328661,0.52671339
7,7,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,1,10,0.473300872,0.526699128
3,3,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,1,10,0.47339447,0.52660553
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,1,10,0.473396261,0.526603739
9,9,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.01,10,0.473399091,0.526600909
9,9,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,0.1,10,0.473403367,0.526596633
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.47341742,0.52658258
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.473424042,0.526575958
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,1,10,0.473499071,0.526500929
9,9,100,100,0.1,32,32,0.7,0.7,0.7,0.7,7,112,1,10,0.473553266,0.526446734
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.473674009,0.526325991
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.47368013,0.52631987
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,1,10,0.473846836,0.526153164
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.1,10,0.473882216,0.526117784
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.473922873,0.526077127
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,7,112,1,10,0.473985065,0.526014935
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.1,10,0.475090668,0.524909332
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.475096431,0.524903569
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.47514526,0.52485474
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.1,10,0.475148062,0.524851938
3,3,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,1,10,0.475151005,0.524848995
5,5,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,1,10,0.475248453,0.524751547
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.475375103,0.524624897
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.1,10,0.475381848,0.524618152
7,7,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,1,10,0.475482792,0.524517208
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,1,10,0.475492911,0.524507089
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.1,10,0.475495669,0.524504331
9,9,100,100,0.1,48,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.475503548,0.524496452
