max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.191331115,0.808668885
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.191335661,0.808664339
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,1,1,0.1,100,10,0.191457788,0.808542212
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.191498917,0.808501083
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.05,200,10,0.191562182,0.808437818
5,5,1.5625,0.1,100,32,32,0.7,0.7,0.7,0.7,9,144,144,1,1,0.05,200,10,0.19157208,0.80842792
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.191591182,0.808408818
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.191592342,0.808407658
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.191624729,0.808375271
9,9,2.8125,0.1,100,32,32,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.191652109,0.808347891
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.191681892,0.808318108
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.191711068,0.808288932
9,9,2.8125,0.1,100,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.1,100,10,0.19176599,0.80823401
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.191793691,0.808206309
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.191843517,0.808156483
7,7,2.1875,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.191888457,0.808111543
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,1,1,0.05,200,10,0.191940539,0.808059461
7,7,2.1875,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.191974026,0.808025974
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.1,100,10,0.192055375,0.807944625
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.192068262,0.807931738
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.05,200,10,0.192085309,0.807914691
5,5,1.5625,0.05,200,96,96,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.192172048,0.807827952
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.192201353,0.807798647
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.192214061,0.807785939
9,9,2.8125,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.01,0.01,0.05,200,10,0.192225716,0.807774284
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.1,100,10,0.192290392,0.807709608
5,5,1.5625,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.192302594,0.807697406
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.192393356,0.807606644
9,9,2.8125,0.1,100,64,64,0.9,0.9,0.5,0.5,7,112,112,0.1,0.1,0.05,200,10,0.192399645,0.807600355
5,5,1.5625,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.192402929,0.807597071
5,5,1.5625,0.05,200,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.1,100,10,0.192486863,0.807513137
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,1,1,0.1,100,10,0.192487029,0.807512971
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.05,200,10,0.192495722,0.807504278
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,9,144,144,1,1,0.05,200,10,0.192512336,0.807487664
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,0.01,0.01,0.1,100,10,0.192578696,0.807421304
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.192700822,0.807299178
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.192705965,0.807294035
9,9,2.8125,0.1,100,128,128,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.1,100,10,0.192713879,0.807286121
9,9,2.8125,0.05,200,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.1,100,10,0.192757629,0.807242371
5,5,1.5625,0.05,200,128,128,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.192808259,0.807191741
7,7,2.1875,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.192877345,0.807122655
9,9,2.8125,0.1,100,96,96,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.192886422,0.807113578
7,7,2.1875,0.05,200,64,64,0.7,0.7,0.7,0.7,7,112,112,1,1,0.05,200,10,0.192907765,0.807092235
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.05,200,10,0.19299705,0.80700295
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.1,100,10,0.193003166,0.806996834
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.193003594,0.806996406
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,0.01,0.01,0.05,200,10,0.193023495,0.806976505
