min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
80,50,100,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.19832018121850084,0.8016798187814992
16,100,50,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.1986637342151843,0.8013362657848158
80,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.19874970038402878,0.8012502996159712
80,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.19877532249918628,0.8012246775008137
16,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.19896141331353026,0.8010385866864698
80,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.19910115595975666,0.8008988440402434
80,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.19912703735253218,0.8008729626474678
80,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.1991506077968764,0.8008493922031236
80,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.1992973250757451,0.800702674924255
16,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.19935130482909175,0.8006486951709082
80,50,100,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.20002219253900744,0.7999778074609926
48,50,100,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.20010684749374458,0.7998931525062554
80,100,50,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.2004313151685599,0.7995686848314401
80,100,50,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.20056897337083174,0.7994310266291682
80,100,50,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.200692136699226,0.799307863300774
80,50,100,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.20086939948650334,0.7991306005134966
48,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.2013797745058521,0.7986202254941479
16,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.20139373706644878,0.7986062629335512
80,50,100,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.201502912285156,0.7984970877148441
48,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.20166578242739835,0.7983342175726016
48,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.20250852614604953,0.7974914738539505
80,50,100,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.20252904193900695,0.7974709580609931
80,100,50,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.20273608797727458,0.7972639120227254
48,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.20313072426794665,0.7968692757320534
80,100,50,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.20366719794377636,0.7963328020562237
16,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.20445811710643844,0.7955418828935615
80,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.20519207159108335,0.7948079284089167
80,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.20553903966783862,0.7944609603321614
80,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.20586131857175982,0.7941386814282402
48,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.20596992061528344,0.7940300793847166
48,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.20627654342947366,0.7937234565705263
16,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.20663992070096465,0.7933600792990354
16,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.20728545365500434,0.7927145463449956
80,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.20890680756840954,0.7910931924315905
80,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.20912066373796234,0.7908793362620377
16,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.2097552656607538,0.7902447343392462
48,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.21054154435324607,0.7894584556467539
16,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.21081434382930464,0.7891856561706954
16,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.21198543617701193,0.7880145638229881
48,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.21343022990271387,0.7865697700972861
80,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.21399674499126164,0.7860032550087384
48,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.214011449112622,0.7859885508873781
48,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.2141548237804938,0.7858451762195062
80,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.2146815614828663,0.7853184385171337
80,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.2149003015882413,0.7850996984117586
48,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.21523894916320657,0.7847610508367935
80,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.21834234907115857,0.7816576509288414
80,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.21835726626917198,0.781642733730828
80,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,10,0.2187261127862053,0.7812738872137948
80,100,50,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.21985293448272428,0.7801470655172758
