n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
50,l1,0.5,0.5,9,9,112,10,10,0.158462945,0.841537055,1.060011446,0.507590696
50,l1,0.7,0.7,9,9,112,1,10,0.158611478,0.841388522,1.059722849,0.513925627
50,l2,0.5,0.5,9,9,112,10,10,0.158644332,0.841355668,1.060011446,0.506254776
50,l2,0.7,0.7,3,3,16,0.1,10,0.158752118,0.841247882,1.063983029,0.50672502
50,l1,0.7,0.7,3,3,16,1,10,0.158877259,0.841122741,1.063983029,0.513925627
100,l1,0.5,0.5,3,3,16,0.1,10,0.15971058,0.84028942,1.064485755,0.5
100,l2,0.7,0.7,3,3,16,1,10,0.159807723,0.840192277,1.063726436,0.506313556
100,l2,0.9,0.9,3,3,16,1,10,0.159956387,0.840043613,1.059013192,0.506313556
50,l2,0.7,0.7,3,3,16,1,10,0.160343224,0.839656776,1.063983029,0.506313556
100,l2,0.9,0.9,3,3,16,0.1,10,0.16045576,0.83954424,1.059013192,0.50672502
100,l2,0.7,0.7,3,3,16,0.1,10,0.160665772,0.839334228,1.063726436,0.50672502
100,l1,0.7,0.7,3,3,16,10,10,0.16070997,0.83929003,1.063726436,0.507590696
50,l2,0.7,0.7,9,9,112,1,10,0.160739875,0.839260125,1.059722849,0.506313556
100,l2,0.7,0.7,3,3,16,10,10,0.160908669,0.839091331,1.063726436,0.506254776
100,l1,0.9,0.9,3,3,16,10,10,0.161139705,0.838860295,1.059013192,0.507590696
50,l1,0.7,0.7,3,3,16,10,10,0.161295857,0.838704143,1.063983029,0.507590696
100,l2,0.9,0.9,3,3,16,10,10,0.161397823,0.838602177,1.059013192,0.506254776
50,l2,0.7,0.7,3,3,16,10,10,0.161510992,0.838489008,1.063983029,0.506254776
50,l1,0.5,0.5,9,9,112,0.1,10,0.161616453,0.838383547,1.060011446,0.5
50,l1,0.7,0.7,9,9,112,10,10,0.161676271,0.838323729,1.059722849,0.507590696
100,l1,0.9,0.9,3,3,16,1,10,0.161784509,0.838215491,1.059013192,0.513925627
50,l2,0.7,0.7,9,9,112,10,10,0.161907163,0.838092837,1.059722849,0.506254776
100,l1,0.5,0.5,9,9,112,0.1,10,0.163069615,0.836930385,1.060508542,0.5
100,l1,0.7,0.7,9,9,112,0.1,10,0.163184755,0.836815245,1.059963252,0.5
100,l1,0.9,0.9,9,9,112,0.1,10,0.164408484,0.835591516,1.058644564,0.5
50,l2,0.9,0.9,3,3,16,10,10,0.164823393,0.835176607,1.058088395,0.506254776
50,l1,0.9,0.9,3,3,16,1,10,0.165024373,0.834975627,1.058088395,0.513925627
50,l1,0.7,0.7,9,9,112,0.1,10,0.165983583,0.834016417,1.059722849,0.5
50,l2,0.9,0.9,3,3,16,1,10,0.167307805,0.832692195,1.058088395,0.506313556
50,l2,0.9,0.9,3,3,16,0.1,10,0.167571085,0.832428915,1.058088395,0.50672502
100,l1,0.7,0.7,3,3,16,0.1,10,0.167784762,0.832215238,1.063726436,0.5
50,l1,0.7,0.7,3,3,16,0.1,10,0.167907249,0.832092751,1.063983029,0.5
50,l1,0.9,0.9,3,3,16,10,10,0.168509388,0.831490612,1.058088395,0.507590696
100,l1,0.9,0.9,3,3,16,0.1,10,0.168940449,0.831059551,1.059013192,0.5
50,l1,0.9,0.9,3,3,16,0.1,10,0.175922863,0.824077137,1.058088395,0.5
100,l1,0.5,0.5,7,7,80,0.1,5,0.330744897,0.669255103,1.05896733,0.5
100,l1,0.5,0.5,9,9,112,1,5,0.331478826,0.668521174,1.060508542,0.513925627
100,l1,0.9,0.9,3,3,16,1,5,0.331499454,0.668500546,1.059013192,0.513925627
100,l1,0.5,0.5,5,5,48,1,5,0.331555212,0.668444788,1.061356764,0.513925627
100,l1,0.5,0.5,5,5,48,10,5,0.331877675,0.668122325,1.061356764,0.507590696
100,l2,0.5,0.5,5,5,48,1,5,0.331917188,0.668082812,1.061356764,0.506313556
100,l2,0.5,0.5,5,5,48,10,5,0.331921337,0.668078663,1.061356764,0.506254776
100,l2,0.5,0.5,5,5,48,0.1,5,0.332239455,0.667760545,1.061356764,0.50672502
100,l1,0.5,0.5,3,3,16,0.1,5,0.3325601,0.6674399,1.064485755,0.5
100,l1,0.5,0.5,7,7,80,1,5,0.332664388,0.667335612,1.05896733,0.513925627
100,l1,0.5,0.5,9,9,112,0.1,5,0.332726588,0.667273412,1.060508542,0.5
100,l1,0.5,0.5,7,7,80,10,5,0.332906449,0.667093551,1.05896733,0.507590696
100,l2,0.5,0.5,7,7,80,10,5,0.332948388,0.667051612,1.05896733,0.506254776
100,l2,0.5,0.5,7,7,80,1,5,0.333170476,0.666829524,1.05896733,0.506313556
100,l2,0.5,0.5,9,9,112,10,5,0.333223838,0.666776162,1.060508542,0.506254776
100,l1,0.5,0.5,9,9,112,10,5,0.333225308,0.666774692,1.060508542,0.507590696
100,l1,0.7,0.7,5,5,48,1,5,0.333297992,0.666702008,1.060330108,0.513925627
50,l1,0.7,0.7,7,7,80,1,5,0.333468128,0.666531872,1.060119571,0.513925627
100,l1,0.7,0.7,7,7,80,1,5,0.333756868,0.666243132,1.059968054,0.513925627
100,l2,0.7,0.7,5,5,48,0.1,5,0.334027511,0.665972489,1.060330108,0.50672502
100,l2,0.7,0.7,7,7,80,1,5,0.334101182,0.665898818,1.059968054,0.506313556
100,l1,0.7,0.7,5,5,48,10,5,0.334112678,0.665887322,1.060330108,0.507590696
100,l2,0.7,0.7,5,5,48,1,5,0.334117272,0.665882728,1.060330108,0.506313556
100,l2,0.5,0.5,3,3,16,1,5,0.334118341,0.665881659,1.064485755,0.506313556
50,l1,0.7,0.7,7,7,80,10,5,0.334128666,0.665871334,1.060119571,0.507590696
50,l2,0.7,0.7,7,7,80,1,5,0.334132629,0.665867371,1.060119571,0.506313556
