min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.1,100,10,0.1046917,0.8953083,1.083961223,0.512800782
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,80,80,5,5,1,1,0.1,100,10,0.104758075,0.895241925,1.076722133,0.515817289
16,16,1.5625,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.104763985,0.895236015,1.08039354,0.513850815
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,0.01,0.01,0.1,100,10,0.104785857,0.895214143,1.085043527,0.516060426
16,16,1.5625,0.1,200,96,96,15,0.7,0.7,0.7,0.7,144,144,9,9,0.01,0.01,0.1,100,10,0.104788458,0.895211542,1.087214256,0.511633189
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.104831487,0.895168513,1.097957153,0.520354072
16,16,1.5625,0.2,100,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,1,1,0.05,200,10,0.104877507,0.895122493,1.10826737,0.512969108
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.05,200,10,0.104908825,0.895091175,1.09549221,0.517674217
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.1,100,10,0.10493418,0.89506582,1.070579012,0.512389319
48,48,2.8125,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.1049382,0.8950618,1.087036003,0.511178976
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.104962639,0.895037361,1.077543947,0.500021375
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.05,200,10,0.104969157,0.895030843,1.094965836,0.498752251
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.104977345,0.895022655,1.096572888,0.508902569
32,32,2.1875,0.1,200,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.05,200,10,0.104984832,0.895015168,1.079763232,0.519942609
