max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.209193658,0.790806342
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.209214477,0.790785523
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.20930187,0.79069813
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.20951734,0.79048266
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,1,1,100,0.1,10,0.209541405,0.790458595
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.20955013,0.79044987
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.209752917,0.790247083
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.209773939,0.790226061
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.209889481,0.790110519
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,1,1,100,0.1,10,0.209951556,0.790048444
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.210048574,0.789951426
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.210091778,0.789908222
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.21009882,0.78990118
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.210129659,0.789870341
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.210341593,0.789658407
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.210364037,0.789635963
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.210482594,0.789517406
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.21049601,0.78950399
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,1,1,100,0.1,10,0.21057049,0.78942951
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.210639394,0.789360606
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.210733781,0.789266219
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.210776872,0.789223128
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,100,0.1,10,0.210894938,0.789105062
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.210940924,0.789059076
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.210995208,0.789004792
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.211320241,0.788679759
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.211578235,0.788421765
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.211584172,0.788415828
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,100,0.1,10,0.211590396,0.788409604
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.211593436,0.788406564
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.211608609,0.788391391
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.211690897,0.788309103
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.211725539,0.788274461
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.211798425,0.788201575
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,200,0.05,10,0.211803935,0.788196065
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.211872469,0.788127531
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.211886243,0.788113757
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,100,0.1,10,0.21195099,0.78804901
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.211971674,0.788028326
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,200,0.05,10,0.211998306,0.788001694
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.21202068,0.78797932
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,200,0.05,10,0.212079451,0.787920549
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.212085062,0.787914938
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,200,0.05,10,0.212136256,0.787863744
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.212175656,0.787824344
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.212440635,0.787559365
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.212562484,0.787437516
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,200,0.05,10,0.212566578,0.787433422
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,200,0.05,10,0.212674981,0.787325019
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.212752927,0.787247073
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.212758537,0.787241463
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.21283161,0.78716839
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,200,0.05,10,0.212871257,0.787128743
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.01,0.01,200,0.05,10,0.212974911,0.787025089
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,200,0.05,10,0.213056214,0.786943786
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,1,1,200,0.05,10,0.213062156,0.786937844
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,100,0.1,10,0.213132631,0.786867369
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,100,0.1,10,0.213325943,0.786674057
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,1,1,200,0.05,10,0.213383472,0.786616528
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,100,0.1,10,0.21342119,0.78657881
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,100,0.1,10,0.213493645,0.786506355
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.213506882,0.786493118
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,1,1,100,0.1,10,0.213524393,0.786475607
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,100,0.1,10,0.213525034,0.786474966
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.213581929,0.786418071
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,1,1,100,0.1,10,0.213715037,0.786284963
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.01,0.01,200,0.05,10,0.213719322,0.786280678
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,1,1,200,0.05,10,0.213752283,0.786247717
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,100,0.1,10,0.213759134,0.786240866
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.213872196,0.786127804
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,1,1,200,0.05,10,0.21388103,0.78611897
