max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,200,0.1,l2,0.9,0.9,5,80,0.1,1,10,0.102161854,0.897838146,1.098810826,0.506313556
7,32,32,100,0.2,l1,0.7,0.7,7,112,0.01,0.1,10,0.102261579,0.897738421,1.073095879,0.5
7,32,32,200,0.1,l2,0.9,0.9,3,48,0.1,1,10,0.102288724,0.897711276,1.075803823,0.506313556
9,64,64,200,0.1,l2,0.5,0.5,7,112,0.01,0.1,10,0.102296801,0.897703199,1.085546469,0.50672502
7,32,32,200,0.1,l2,0.9,0.9,7,112,0.1,1,10,0.102307638,0.897692362,1.073691105,0.506313556
9,64,64,100,0.2,l1,0.9,0.9,3,48,0.01,0.1,10,0.102388967,0.897611033,1.108417155,0.5
7,32,32,100,0.2,l1,0.5,0.5,5,80,0.01,0.1,10,0.102424313,0.897575687,1.08206081,0.5
7,32,32,200,0.1,l1,0.7,0.7,3,48,1,10,10,0.102539929,0.897460071,1.07241305,0.507590696
9,64,64,200,0.1,l1,0.5,0.5,1,16,0.01,0.1,10,0.102588708,0.897411292,1.081917053,0.5
7,32,32,200,0.1,l2,0.7,0.7,3,48,1,10,10,0.102633438,0.897366562,1.07241305,0.506254776
7,32,32,100,0.2,l1,0.7,0.7,5,80,0.01,0.1,10,0.102732866,0.897267134,1.072942519,0.5
7,32,32,100,0.2,l1,0.7,0.7,1,16,1,10,10,0.102768604,0.897231396,1.076696251,0.507590696
9,64,64,100,0.2,l1,0.7,0.7,3,48,1,10,10,0.102770114,0.897229886,1.100063574,0.507590696
7,32,32,200,0.1,l1,0.5,0.5,3,48,1,10,10,0.102775434,0.897224566,1.080152391,0.507590696
7,32,32,100,0.2,l2,0.9,0.9,7,112,0.1,1,10,0.102805273,0.897194727,1.070036558,0.506313556
9,64,64,200,0.1,l1,0.9,0.9,5,80,0.01,0.1,10,0.102810059,0.897189941,1.103146595,0.5
9,64,64,100,0.2,l2,0.7,0.7,3,48,1,10,10,0.102865073,0.897134927,1.100063574,0.506254776
7,32,32,100,0.2,l2,0.7,0.7,1,16,1,10,10,0.10287066,0.89712934,1.076696251,0.506254776
7,32,32,100,0.2,l1,0.5,0.5,5,80,0.1,1,10,0.1028769,0.8971231,1.085697598,0.513925627
7,32,32,200,0.1,l2,0.5,0.5,3,48,1,10,10,0.102889512,0.897110488,1.080152391,0.506254776
9,64,64,100,0.2,l2,0.9,0.9,9,144,0.01,0.1,10,0.102897336,0.897102664,1.102285232,0.50672502
