max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.111154951,0.888845049
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,0.1,0.1,10,0.111231877,0.888768123
9,9,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.111264013,0.888735987
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.111298352,0.888701648
9,9,100,100,0.2,0.2,96,96,15,0.7,0.7,0.7,0.7,48,80,7,0.01,0.01,10,0.111383744,0.888616256
5,5,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.111411302,0.888588698
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.111441576,0.888558424
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,1,1,10,0.111494149,0.888505851
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.111496527,0.888503473
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.111511955,0.888488045
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.111518068,0.888481932
9,9,100,100,0.2,0.2,32,32,5,0.7,0.7,0.7,0.7,32,48,5,0.1,0.1,10,0.111722623,0.888277377
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.111742404,0.888257596
9,9,200,200,0.1,0.1,32,32,5,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.111777358,0.888222642
7,7,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.111788784,0.888211216
9,9,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.111854947,0.888145053
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.111873733,0.888126267
9,9,100,100,0.2,0.2,64,64,10,0.5,0.5,0.9,0.9,80,144,11,0.01,0.01,10,0.111974295,0.888025705
5,5,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.112026706,0.887973294
5,5,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.112105754,0.887894246
5,5,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.112117631,0.887882369
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,32,48,5,0.1,0.1,10,0.112202797,0.887797203
5,5,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.112269576,0.887730424
7,7,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,32,48,5,0.1,0.1,10,0.112301602,0.887698398
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.112337105,0.887662895
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.112412584,0.887587416
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.112464702,0.887535298
