max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,min_samples_split_random,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_features_random,max_samples_random,max_depth_random,max_bin_LGB,min_samples_leaf_random,reg_alpha,degree,mse,r2,mse_y,auc_t
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.085904653,0.914095347,1.092892019,0.504910841
7,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.085934257,0.914065743,1.082447143,0.519370835
9,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,1,10,0.085944092,0.914055908,1.083268473,0.508573932
9,50,0.2,100,16,32,32,5,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.085984569,0.914015431,1.123044212,0.517361612
7,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.1,10,0.085987237,0.914012763,1.108955412,0.508531183
7,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.086032832,0.913967168,1.100260146,0.505683002
7,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,1,10,0.086116363,0.913883637,1.082813698,0.504910841
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.1,10,0.086132195,0.913867805,1.087036003,0.519370835
7,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.086135821,0.913864179,1.1047808,0.505683002
7,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.086175884,0.913824116,1.086468964,0.515590183
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,1,10,0.086191612,0.913808388,1.097675197,0.511456847
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.086333132,0.913666868,1.092316133,0.518833796
5,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.086380012,0.913619988,1.080257131,0.519809017
5,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.086429537,0.913570463,1.082116982,0.512514896
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.086470464,0.913529536,1.105493452,0.508573932
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.086513422,0.913486578,1.078373669,0.512514896
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.086610868,0.913389132,1.106771602,0.515590183
5,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.086709105,0.913290895,1.080225063,0.512514896
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.086715829,0.913284171,1.078839532,0.512514896
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.086742583,0.913257417,1.090478224,0.519809017
9,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.086857916,0.913142084,1.102455507,0.510783544
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.086924766,0.913075234,1.107507731,0.519809017
7,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.086941268,0.913058732,1.091472683,0.511456847
9,50,0.2,100,16,32,32,5,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.086996973,0.913003027,1.133692382,0.508573932
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.086999601,0.913000399,1.084277253,0.511456847
7,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.087000369,0.912999631,1.094044141,0.518833796
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.01,10,0.087007847,0.912992153,1.099402961,0.511852279
7,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.087020272,0.912979728,1.097841662,0.511531659
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,1,10,0.087042721,0.912957279,1.094692444,0.508531183
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.087068506,0.912931494,1.08222761,0.508573932
7,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.087101394,0.912898606,1.083961223,0.519809017
5,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.0871162,0.9128838,1.076054302,0.511456847
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.087117106,0.912882894,1.088071871,0.519809017
5,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.08714685,0.91285315,1.084404426,0.517361612
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,1,10,0.087181632,0.912818368,1.087532185,0.505683002
7,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,1,10,0.087255271,0.912744729,1.076684359,0.515069174
7,50,0.2,100,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.1,10,0.087286181,0.912713819,1.087018319,0.517361612
7,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.087286524,0.912713476,1.087783904,0.519809017
5,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.087291151,0.912708849,1.092646203,0.511531659
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.087321397,0.912678603,1.083871248,0.512237024
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,1,10,0.087357057,0.912642943,1.078096344,0.512514896
9,100,0.1,200,16,32,32,5,0.5,0.5,0.9,0.9,7,112,7,1,10,0.087366478,0.912633522,1.117998109,0.511456847
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.087382246,0.912617754,1.08433562,0.511456847
7,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,1,10,0.087404228,0.912595772,1.110954613,0.508531183
9,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.087451012,0.912548988,1.096180341,0.511109508
5,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.087483066,0.912516934,1.083640936,0.511109508
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,1,10,0.087569831,0.912430169,1.087250351,0.504910841
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.087755774,0.912244226,1.093110563,0.511109508
5,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.087766069,0.912233931,1.087908113,0.512237024
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.08778746,0.91221254,1.080035114,0.515590183
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.1,10,0.087789716,0.912210284,1.099084664,0.519370835
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,1,10,0.087820159,0.912179841,1.101839113,0.515590183
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,5,80,5,1,10,0.087891434,0.912108566,1.084230083,0.511852279
5,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.087951119,0.912048881,1.090826248,0.52767224
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,1,10,0.087995415,0.912004585,1.084617702,0.512237024
5,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.088034724,0.911965276,1.078545581,0.518833796
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.01,10,0.088089798,0.911910202,1.091676463,0.511852279
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,1,10,0.088097751,0.911902249,1.085258997,0.504910841
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.088102929,0.911897071,1.078151661,0.515590183
9,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.088164354,0.911835646,1.083381843,0.510783544
7,100,0.1,200,16,32,32,5,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.088173273,0.911826727,1.11742106,0.515069174
7,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.088173281,0.911826719,1.103153508,0.505683002
7,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.088187533,0.911812467,1.085112846,0.512237024
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,1,10,0.088194153,0.911805847,1.082410281,0.511456847
5,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,0.01,10,0.088198469,0.911801531,1.073921721,0.515069174
5,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,1,10,0.088207716,0.911792284,1.081117168,0.518833796
7,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.088238909,0.911761091,1.088130459,0.505683002
5,50,0.2,100,16,32,32,5,0.5,0.5,0.9,0.9,7,112,7,1,10,0.088253678,0.911746322,1.091785474,0.52767224
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.088257793,0.911742207,1.073102599,0.510783544
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.088268049,0.911731951,1.084417038,0.511456847
7,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,5,80,5,0.01,10,0.088282933,0.911717067,1.07886225,0.515069174
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.088288215,0.911711785,1.084596457,0.504910841
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,1,10,0.088294579,0.911705421,1.090984667,0.515590183
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,0.1,10,0.088296911,0.911703089,1.077486118,0.512237024
9,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.08832544,0.91167456,1.109414652,0.505683002
9,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,1,10,0.08843332,0.91156668,1.094872005,0.511109508
7,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,1,10,0.088484727,0.911515273,1.09356414,0.52767224
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.088486218,0.911513782,1.077805452,0.508573932
7,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.08852279,0.91147721,1.091609992,0.505683002
5,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.088606438,0.911393562,1.085827309,0.515590183
5,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.088621449,0.911378551,1.088420392,0.519370835
5,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,5,80,5,1,10,0.088648976,0.911351024,1.076722133,0.519370835
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,5,80,5,0.1,10,0.088657557,0.911342443,1.084497997,0.519370835
