eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,100,64,0.5,0.5,3,3,5,0.321884554,0.678115446
0.01,350,100,32,0.5,0.5,3,3,5,0.321884554,0.678115446
0.0001,450,50,64,0.5,0.5,7,7,5,0.322360841,0.677639159
0.0001,450,50,16,0.5,0.5,7,7,5,0.322360841,0.677639159
0.0001,450,50,32,0.5,0.5,7,7,5,0.322360841,0.677639159
0.0001,450,50,48,0.5,0.5,7,7,5,0.322360841,0.677639159
0.01,350,100,16,0.7,0.7,9,9,5,0.322560913,0.677439087
0.01,350,100,64,0.7,0.7,9,9,5,0.322560913,0.677439087
0.01,350,100,32,0.7,0.7,9,9,5,0.322560913,0.677439087
0.01,350,100,48,0.7,0.7,9,9,5,0.322560913,0.677439087
0.01,350,50,48,0.7,0.7,9,9,5,0.322750134,0.677249866
0.01,350,50,32,0.7,0.7,9,9,5,0.322750134,0.677249866
0.01,350,50,16,0.7,0.7,9,9,5,0.322750134,0.677249866
0.01,350,50,64,0.7,0.7,9,9,5,0.322750134,0.677249866
0.01,350,50,32,0.5,0.5,3,3,5,0.322867345,0.677132655
0.01,350,50,16,0.5,0.5,3,3,5,0.322867345,0.677132655
0.01,350,50,48,0.5,0.5,3,3,5,0.322867345,0.677132655
0.01,350,50,64,0.5,0.5,3,3,5,0.322867345,0.677132655
0.0001,450,100,64,0.5,0.5,3,3,5,0.32314729,0.67685271
0.0001,450,100,32,0.5,0.5,3,3,5,0.32314729,0.67685271
0.0001,450,100,48,0.5,0.5,3,3,5,0.32314729,0.67685271
0.0001,450,100,16,0.5,0.5,3,3,5,0.32314729,0.67685271
0.01,350,100,16,0.7,0.7,7,7,5,0.323213603,0.676786397
0.01,350,100,32,0.7,0.7,7,7,5,0.323213603,0.676786397
0.01,350,100,48,0.7,0.7,7,7,5,0.323213603,0.676786397
0.01,350,100,64,0.7,0.7,7,7,5,0.323213603,0.676786397
0.0001,450,100,16,0.5,0.5,5,5,5,0.323400256,0.676599744
0.0001,450,100,64,0.5,0.5,5,5,5,0.323400256,0.676599744
0.0001,450,100,48,0.5,0.5,5,5,5,0.323400256,0.676599744
0.0001,450,100,32,0.5,0.5,5,5,5,0.323400256,0.676599744
0.01,350,50,16,0.5,0.5,5,5,5,0.323404207,0.676595793
0.01,350,50,64,0.5,0.5,5,5,5,0.323404207,0.676595793
0.01,350,50,48,0.5,0.5,5,5,5,0.323404207,0.676595793
0.01,350,50,32,0.5,0.5,5,5,5,0.323404207,0.676595793
0.01,350,50,32,0.7,0.7,5,5,5,0.323758259,0.676241741
0.01,350,50,64,0.7,0.7,5,5,5,0.323758259,0.676241741
0.01,350,50,48,0.7,0.7,5,5,5,0.323758259,0.676241741
0.01,350,50,16,0.7,0.7,5,5,5,0.323758259,0.676241741
0.0001,450,100,48,0.7,0.7,9,9,5,0.323974461,0.676025539
0.0001,450,100,64,0.7,0.7,9,9,5,0.323974461,0.676025539
0.0001,450,100,16,0.7,0.7,9,9,5,0.323974461,0.676025539
0.0001,450,100,32,0.7,0.7,9,9,5,0.323974461,0.676025539
0.01,350,50,32,0.7,0.7,7,7,5,0.324136709,0.675863291
0.01,350,50,64,0.7,0.7,7,7,5,0.324136709,0.675863291
0.01,350,50,48,0.7,0.7,7,7,5,0.324136709,0.675863291
0.01,350,50,16,0.7,0.7,7,7,5,0.324136709,0.675863291
0.0001,450,50,32,0.5,0.5,3,3,5,0.324475376,0.675524624
0.0001,450,50,64,0.5,0.5,3,3,5,0.324475376,0.675524624
0.0001,450,50,48,0.5,0.5,3,3,5,0.324475376,0.675524624
0.0001,450,50,16,0.5,0.5,3,3,5,0.324475376,0.675524624
0.01,350,100,32,0.7,0.7,5,5,5,0.324511298,0.675488702
0.01,350,100,48,0.7,0.7,5,5,5,0.324511298,0.675488702
0.01,350,100,64,0.7,0.7,5,5,5,0.324511298,0.675488702
