eps_lasso,n_alphas_lasso,num_iterations_LGB,learning_rate_LGB,reg_lambda_LGB,min_child_samples_LGB,num_leaves_LGB,colsample_bytree_LGB,subsample_LGB,max_depth_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
0.0001,450,100,0.2,9,112,112,0.7,0.7,7,112,0.1,10,0.1454339770363174,0.8545660229636826
0.01,350,100,0.2,7,80,80,0.9,0.9,5,80,1.0,10,0.1455295532698066,0.8544704467301933
0.0001,450,100,0.2,7,80,80,0.9,0.9,5,80,1.0,10,0.14554627522077163,0.8544537247792283
0.01,350,200,0.1,7,80,80,0.7,0.7,3,48,0.1,10,0.14555532943191832,0.8544446705680817
0.01,350,100,0.2,7,80,80,0.9,0.9,5,80,0.1,10,0.14556875201861147,0.8544312479813885
0.0001,450,200,0.1,7,80,80,0.7,0.7,3,48,0.1,10,0.14556958785803367,0.8544304121419664
0.01,350,200,0.1,7,80,80,0.9,0.9,7,112,1.0,10,0.14557559802726824,0.8544244019727317
0.0001,450,100,0.2,7,80,80,0.9,0.9,5,80,0.1,10,0.14558062603453087,0.8544193739654691
0.0001,450,200,0.1,7,80,80,0.9,0.9,7,112,1.0,10,0.1455917831572546,0.8544082168427454
0.01,350,200,0.1,3,16,16,0.5,0.5,3,48,0.1,10,0.145646437993283,0.854353562006717
0.0001,450,200,0.1,3,16,16,0.5,0.5,3,48,0.1,10,0.14566164989870284,0.8543383501012971
0.01,350,200,0.1,5,48,48,0.5,0.5,3,48,0.1,10,0.14567275192468915,0.8543272480753108
0.0001,450,200,0.1,5,48,48,0.5,0.5,3,48,0.1,10,0.14569504715637213,0.8543049528436278
0.01,350,200,0.1,3,16,16,0.9,0.9,3,48,0.01,10,0.14579584136988927,0.8542041586301108
0.0001,450,200,0.1,3,16,16,0.9,0.9,3,48,0.01,10,0.14580747155108373,0.8541925284489162
0.01,350,200,0.1,3,16,16,0.5,0.5,3,48,0.01,10,0.1458369331968497,0.8541630668031504
0.0001,450,200,0.1,3,16,16,0.5,0.5,3,48,0.01,10,0.14584070798260593,0.854159292017394
0.01,350,200,0.1,9,112,112,0.9,0.9,7,112,0.01,10,0.14584279275211448,0.8541572072478856
0.0001,450,200,0.1,9,112,112,0.9,0.9,7,112,0.01,10,0.14585583579551675,0.8541441642044832
0.01,350,100,0.2,9,112,112,0.9,0.9,9,144,0.1,10,0.14590633379816087,0.8540936662018391
0.0001,450,100,0.2,9,112,112,0.9,0.9,9,144,0.1,10,0.14592647163333056,0.8540735283666694
0.01,350,100,0.2,5,48,48,0.7,0.7,3,48,1.0,10,0.1459634815131106,0.8540365184868894
0.0001,450,100,0.2,5,48,48,0.7,0.7,3,48,1.0,10,0.1459799011731302,0.8540200988268698
0.01,350,100,0.2,7,80,80,0.5,0.5,5,80,0.01,10,0.14619011893382913,0.8538098810661708
0.01,350,100,0.2,5,48,48,0.9,0.9,3,48,1.0,10,0.1462090257811602,0.8537909742188398
0.0001,450,100,0.2,7,80,80,0.5,0.5,5,80,0.01,10,0.14621456591067697,0.8537854340893231
0.0001,450,100,0.2,5,48,48,0.9,0.9,3,48,1.0,10,0.14622234991912045,0.8537776500808796
0.01,350,100,0.2,9,112,112,0.7,0.7,9,144,0.1,10,0.1464471453440847,0.8535528546559152
0.0001,450,100,0.2,9,112,112,0.7,0.7,9,144,0.1,10,0.14646368619394187,0.8535363138060581
0.01,350,100,0.2,9,112,112,0.9,0.9,5,80,0.1,10,0.14661564944004188,0.8533843505599581
0.0001,450,100,0.2,9,112,112,0.9,0.9,5,80,0.1,10,0.14663014777850894,0.8533698522214911
0.01,350,200,0.1,7,80,80,0.9,0.9,9,144,1.0,10,0.14665615534620596,0.853343844653794
0.01,350,200,0.1,5,48,48,0.5,0.5,5,80,1.0,10,0.14666336232176658,0.8533366376782334
0.0001,450,200,0.1,7,80,80,0.9,0.9,9,144,1.0,10,0.1466755750985651,0.8533244249014349
0.0001,450,200,0.1,5,48,48,0.5,0.5,5,80,1.0,10,0.14668058197527625,0.8533194180247238
0.01,350,200,0.1,9,112,112,0.7,0.7,9,144,0.01,10,0.1466820164414474,0.8533179835585526
0.0001,450,200,0.1,9,112,112,0.7,0.7,9,144,0.01,10,0.1466937404638201,0.8533062595361799
0.01,350,200,0.1,7,80,80,0.9,0.9,3,48,0.01,10,0.1467221588263625,0.8532778411736375
0.0001,450,200,0.1,7,80,80,0.9,0.9,3,48,0.01,10,0.1467392491840856,0.8532607508159145
0.01,350,200,0.1,9,112,112,0.9,0.9,9,144,1.0,10,0.14690707047386395,0.853092929526136
0.0001,450,200,0.1,9,112,112,0.9,0.9,9,144,1.0,10,0.14692527811714756,0.8530747218828525
0.01,350,100,0.2,7,80,80,0.9,0.9,3,48,1.0,10,0.1470108081107294,0.8529891918892706
0.0001,450,100,0.2,7,80,80,0.9,0.9,3,48,1.0,10,0.14702739879464857,0.8529726012053515
0.01,350,100,0.2,9,112,112,0.5,0.5,7,112,0.1,10,0.14731087402099297,0.852689125979007
0.0001,450,100,0.2,9,112,112,0.5,0.5,7,112,0.1,10,0.14733389363135688,0.8526661063686432
0.01,350,200,0.1,7,80,80,0.7,0.7,7,112,0.01,10,0.14758367654198798,0.852416323458012
0.0001,450,200,0.1,7,80,80,0.7,0.7,7,112,0.01,10,0.14760059098884168,0.8523994090111583
0.01,350,100,0.2,9,112,112,0.7,0.7,9,144,0.01,10,0.14762393459325882,0.8523760654067412
0.0001,450,100,0.2,9,112,112,0.7,0.7,9,144,0.01,10,0.1476382119963497,0.8523617880036503
0.01,350,100,0.2,3,16,16,0.9,0.9,3,48,1.0,10,0.14775213176855112,0.8522478682314489
0.01,350,100,0.2,5,48,48,0.9,0.9,3,48,0.1,10,0.14775491867288318,0.8522450813271168
0.0001,450,100,0.2,3,16,16,0.9,0.9,3,48,1.0,10,0.14776643267536488,0.8522335673246351
0.0001,450,100,0.2,5,48,48,0.9,0.9,3,48,0.1,10,0.1477732501355767,0.8522267498644233
0.01,350,100,0.2,5,48,48,0.5,0.5,5,80,1.0,10,0.14795312616583703,0.852046873834163
0.0001,450,100,0.2,5,48,48,0.5,0.5,5,80,1.0,10,0.14796371260542598,0.852036287394574
0.01,350,100,0.2,7,80,80,0.7,0.7,9,144,0.01,10,0.14815912846900414,0.8518408715309959
0.01,350,100,0.2,7,80,80,0.7,0.7,5,80,1.0,10,0.1481641221900523,0.8518358778099477
0.0001,450,100,0.2,7,80,80,0.7,0.7,9,144,0.01,10,0.14817045735033196,0.851829542649668
0.0001,450,100,0.2,7,80,80,0.7,0.7,5,80,1.0,10,0.1481767173845482,0.8518232826154518
0.01,350,200,0.1,9,112,112,0.7,0.7,7,112,0.01,10,0.14822473172369,0.85177526827631
0.0001,450,200,0.1,9,112,112,0.7,0.7,7,112,0.01,10,0.14824259286417812,0.8517574071358218
0.01,350,200,0.1,5,48,48,0.5,0.5,3,48,0.01,10,0.14824682946101142,0.8517531705389886
0.0001,450,200,0.1,5,48,48,0.5,0.5,3,48,0.01,10,0.1482674916904479,0.8517325083095522
0.01,350,100,0.2,3,16,16,0.7,0.7,3,48,0.01,10,0.14851910297488927,0.8514808970251108
0.0001,450,100,0.2,3,16,16,0.7,0.7,3,48,0.01,10,0.14853871403371685,0.8514612859662831
0.01,350,200,0.1,7,80,80,0.9,0.9,5,80,1.0,10,0.14857639205305376,0.8514236079469463
0.0001,450,200,0.1,7,80,80,0.9,0.9,5,80,1.0,10,0.1485938868537543,0.8514061131462457
