n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2,mse_y,auc_t
100,16,0.7,0.7,3,3,5,0.349122048,0.650877952,1.0637368,0.504037149
100,32,0.7,0.7,3,3,5,0.349136676,0.650863324,1.064602899,0.504037149
50,16,0.5,0.5,3,3,5,0.349166671,0.650833329,1.061977489,0.504037149
50,32,0.5,0.5,3,3,5,0.349242317,0.650757683,1.062558065,0.504037149
100,48,0.7,0.7,3,3,5,0.349341505,0.650658495,1.064384026,0.504037149
50,16,0.5,0.5,1,1,5,0.36059394,0.63940606,1.091906749,0.504037149
50,32,0.5,0.5,1,1,5,0.36059394,0.63940606,1.091906749,0.504037149
50,48,0.5,0.5,1,1,5,0.36059394,0.63940606,1.091906749,0.504037149
100,48,0.5,0.5,1,1,5,0.361943408,0.638056592,1.09367036,0.504037149
100,32,0.5,0.5,1,1,5,0.361943408,0.638056592,1.09367036,0.504037149
100,16,0.5,0.5,1,1,5,0.361943408,0.638056592,1.09367036,0.504037149
50,48,0.7,0.7,1,1,5,0.364903359,0.635096641,1.091456455,0.504037149
50,32,0.7,0.7,1,1,5,0.364903359,0.635096641,1.091456455,0.504037149
50,16,0.7,0.7,1,1,5,0.364903359,0.635096641,1.091456455,0.504037149
100,48,0.7,0.7,1,1,5,0.367048878,0.632951122,1.094022315,0.504037149
100,32,0.7,0.7,1,1,5,0.367048878,0.632951122,1.094022315,0.504037149
100,16,0.7,0.7,1,1,5,0.367048878,0.632951122,1.094022315,0.504037149
50,32,0.9,0.9,1,1,5,0.370872099,0.629127901,1.083856606,0.504037149
50,48,0.9,0.9,1,1,5,0.370872099,0.629127901,1.083856606,0.504037149
50,16,0.9,0.9,1,1,5,0.370872099,0.629127901,1.083856606,0.504037149
100,16,0.9,0.9,1,1,5,0.37178466,0.62821534,1.086465146,0.504037149
100,32,0.9,0.9,1,1,5,0.37178466,0.62821534,1.086465146,0.504037149
100,48,0.9,0.9,1,1,5,0.37178466,0.62821534,1.086465146,0.504037149
