eps_lasso,n_alphas_lasso,n_estimators_XGB,learning_rate_XGB,max_depth_XGB,reg_lambda_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
0.01,350,200,0.1,9,9,0.9,0.9,112,0.01,10,0.12105371331077447,0.8789462866892255
0.0001,450,100,0.2,9,9,0.7,0.7,80,0.1,10,0.12105785931069916,0.8789421406893009
0.0001,450,200,0.1,7,7,0.9,0.9,112,0.01,10,0.12105999989364007,0.87894000010636
0.01,350,100,0.2,5,5,0.9,0.9,112,0.01,10,0.12106038112070872,0.8789396188792913
0.0001,450,200,0.1,9,9,0.9,0.9,112,0.01,10,0.1210641567868852,0.8789358432131148
0.01,350,100,0.2,7,7,0.9,0.9,112,1.0,10,0.1210680052618934,0.8789319947381066
0.0001,450,100,0.2,5,5,0.9,0.9,112,0.01,10,0.12107830734225065,0.8789216926577493
0.01,350,100,0.2,7,7,0.9,0.9,80,0.01,10,0.1210842482911698,0.8789157517088302
0.0001,450,100,0.2,7,7,0.9,0.9,112,1.0,10,0.12108811612226496,0.878911883877735
0.0001,450,100,0.2,7,7,0.9,0.9,80,0.01,10,0.12109630680112547,0.8789036931988745
0.01,350,200,0.1,7,7,0.5,0.5,48,1.0,10,0.12111374049199745,0.8788862595080026
0.01,350,200,0.1,3,3,0.9,0.9,112,0.01,10,0.1211201199736262,0.8788798800263737
0.01,350,200,0.1,7,7,0.9,0.9,80,1.0,10,0.12112144605475474,0.8788785539452453
0.0001,450,200,0.1,7,7,0.5,0.5,48,1.0,10,0.12112717752878352,0.8788728224712165
0.0001,450,200,0.1,3,3,0.9,0.9,112,0.01,10,0.12113214760025456,0.8788678523997454
0.0001,450,200,0.1,7,7,0.9,0.9,80,1.0,10,0.12113658199045721,0.8788634180095428
0.01,350,200,0.1,3,3,0.9,0.9,112,0.1,10,0.12120394155653219,0.8787960584434678
0.01,350,100,0.2,3,3,0.9,0.9,80,0.01,10,0.12121563978671512,0.8787843602132849
0.0001,450,200,0.1,3,3,0.9,0.9,112,0.1,10,0.12121779041459452,0.8787822095854054
0.01,350,100,0.2,7,7,0.9,0.9,112,0.01,10,0.12123439510711582,0.8787656048928841
0.0001,450,100,0.2,3,3,0.9,0.9,80,0.01,10,0.12123440444320904,0.878765595556791
0.0001,450,100,0.2,7,7,0.9,0.9,112,0.01,10,0.1212530048281237,0.8787469951718763
0.01,350,200,0.1,3,3,0.9,0.9,80,0.01,10,0.12126942252049558,0.8787305774795044
0.01,350,100,0.2,9,9,0.7,0.7,80,1.0,10,0.12127707269185911,0.8787229273081409
0.0001,450,200,0.1,3,3,0.9,0.9,80,0.01,10,0.12128612709550439,0.8787138729044957
0.0001,450,100,0.2,9,9,0.7,0.7,80,1.0,10,0.12129318680922738,0.8787068131907726
0.01,350,100,0.2,5,5,0.9,0.9,80,0.1,10,0.12132562098015517,0.8786743790198448
0.0001,450,100,0.2,5,5,0.9,0.9,80,0.1,10,0.12134074774092708,0.8786592522590729
0.01,350,200,0.1,3,3,0.5,0.5,48,0.01,10,0.12134123490457682,0.8786587650954232
0.0001,450,200,0.1,3,3,0.5,0.5,48,0.01,10,0.12134916534161348,0.8786508346583866
0.01,350,200,0.1,5,5,0.9,0.9,112,0.1,10,0.12135711207706866,0.8786428879229313
0.01,350,200,0.1,5,5,0.9,0.9,112,0.01,10,0.12135969850310789,0.8786403014968921
0.01,350,100,0.2,7,7,0.7,0.7,80,1.0,10,0.12137336511452895,0.878626634885471
0.0001,450,200,0.1,5,5,0.9,0.9,112,0.1,10,0.12137378149525839,0.8786262185047417
0.0001,450,200,0.1,5,5,0.9,0.9,112,0.01,10,0.12137398157625642,0.8786260184237435
0.0001,450,100,0.2,7,7,0.7,0.7,80,1.0,10,0.12139032162107752,0.8786096783789225
0.01,350,200,0.1,3,3,0.9,0.9,80,0.1,10,0.12141002131910857,0.8785899786808914
0.01,350,100,0.2,9,9,0.9,0.9,112,1.0,10,0.12141195054318943,0.8785880494568106
0.01,350,100,0.2,5,5,0.9,0.9,112,1.0,10,0.12142324125460582,0.8785767587453942
0.0001,450,200,0.1,3,3,0.9,0.9,80,0.1,10,0.12142547615039993,0.8785745238496001
0.0001,450,100,0.2,9,9,0.9,0.9,112,1.0,10,0.12143242337793174,0.8785675766220683
