eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.0001,450,100,3,0.9,0.9,3,16,10,0.1275863808062785,0.8724136191937215
0.01,350,100,9,0.9,0.9,3,16,10,0.12848835353841434,0.8715116464615856
0.01,350,100,3,0.9,0.9,3,16,10,0.12848835353842075,0.8715116464615793
0.01,350,100,7,0.9,0.9,3,16,10,0.12848835353842075,0.8715116464615793
0.01,350,100,5,0.9,0.9,3,16,10,0.12848835353842314,0.8715116464615769
0.01,350,100,3,0.5,0.5,9,112,5,0.3207604938661617,0.6792395061338383
0.01,350,100,7,0.5,0.5,9,112,5,0.3207604938661635,0.6792395061338365
0.01,350,100,9,0.5,0.5,9,112,5,0.3207604938661637,0.6792395061338363
0.01,350,100,5,0.5,0.5,9,112,5,0.32076049386616495,0.679239506133835
0.0001,450,100,3,0.5,0.5,9,112,5,0.3210027034354809,0.6789972965645191
0.0001,450,100,9,0.5,0.5,9,112,5,0.32100270343548093,0.678997296564519
0.0001,450,100,7,0.5,0.5,9,112,5,0.32100270343548104,0.678997296564519
0.0001,450,100,5,0.5,0.5,9,112,5,0.32100270343548126,0.6789972965645188
0.01,350,100,3,0.5,0.5,5,48,5,0.3213526326604156,0.6786473673395844
0.01,350,100,5,0.5,0.5,5,48,5,0.32135263266041564,0.6786473673395843
0.01,350,100,7,0.5,0.5,5,48,5,0.3213526326604158,0.6786473673395842
0.01,350,100,9,0.5,0.5,5,48,5,0.32135263266041963,0.6786473673395803
0.01,350,100,7,0.5,0.5,7,80,5,0.32136604780054995,0.67863395219945
0.01,350,100,5,0.5,0.5,7,80,5,0.3213660478005514,0.6786339521994487
0.01,350,100,3,0.5,0.5,7,80,5,0.32136604780055145,0.6786339521994486
0.01,350,100,9,0.5,0.5,7,80,5,0.32136604780055156,0.6786339521994484
0.0001,450,50,9,0.5,0.5,9,112,5,0.3213807996253308,0.6786192003746692
0.0001,450,50,5,0.5,0.5,9,112,5,0.3213807996253314,0.6786192003746686
0.0001,450,50,7,0.5,0.5,9,112,5,0.3213807996253323,0.6786192003746677
